level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-06-06 18:15:30.535,test_non_nullable_join_group_reduce,8.7691954320s,0.0992862380s,0.0247330080s
INFO,2024-06-06 18:15:36.541,test_non_nullable_left_join,5.8186437180s,0.0992847910s,0.0593792140s
INFO,2024-06-06 18:15:42.630,test_non_nullable_outer_join,5.9374734340s,0.0986861740s,0.0242434830s
INFO,2024-06-06 18:15:45.565,test_nullable_filter_filter_select_select,2.8001859999s,0.0975127130s,0.0110196900s
INFO,2024-06-06 18:15:50.203,test_nullable_filter_group_mutate,4.5014018250s,0.0967639500s,0.0111098950s
INFO,2024-06-06 18:15:54.691,test_nullable_filter_group_mutate_reduce,4.3518425900s,0.0957910520s,0.0127821580s
INFO,2024-06-06 18:15:59.488,test_nullable_filter_group_select,4.6591971610s,0.0983398390s,0.0107907710s
INFO,2024-06-06 18:16:03.666,test_nullable_filter_reduce,4.0488369380s,0.0973298610s,0.0090927990s
INFO,2024-06-06 18:16:06.434,test_nullable_filter_select,2.6344105660s,0.1000683770s,0.0097405250s
INFO,2024-06-06 18:16:15.085,test_nullable_group_reduce_group_reduce_join,8.5089354590s,0.0977292560s,0.0150694720s
INFO,2024-06-06 18:16:24.115,test_nullable_group_reduce_join_mutate,8.8829014080s,0.0982621490s,0.0178059730s
INFO,2024-06-06 18:16:30.385,test_nullable_inner_join_select,6.1224732160s,0.0965698220s,0.0206962810s
INFO,2024-06-06 18:16:39.520,test_nullable_join_group_reduce,8.9901307450s,0.0999949240s,0.0147369330s
INFO,2024-06-06 18:16:45.650,test_nullable_left_join,5.9762306810s,0.0994119920s,0.0139007050s
INFO,2024-06-06 18:16:51.537,test_nullable_outer_join,5.7302833660s,0.0968328801s,0.0133483630s
INFO,2024-06-06 18:16:55.919,test_nullable_windowing_explicit,4.2478344940s,0.0961951530s,0.0101155510s
INFO,2024-06-06 18:17:00.194,test_nullable_windowing_explicit_group,4.1383450220s,0.0946501510s,0.0115691460s
INFO,2024-06-06 18:17:04.738,test_nullable_windowing_explicit_window_far,4.3926266520s,0.1068097800s,0.0109682570s
INFO,2024-06-06 18:17:14.016,test_nullable_windowing_implicit_mean,9.1380775670s,0.1012796910s,0.0103069050s
INFO,2024-06-06 18:17:22.756,test_nullable_windowing_implicit_sum,8.6069856120s,0.0985315960s,0.0097635580s
INFO,2024-06-06 18:29:24.687,test_nexmark_query_2,2.5722031410s,0.0971831280s,0.0518479760s
INFO,2024-06-07 10:27:42.569,runTest,1.0601568730s,1.0541353720s
INFO,2024-06-07 10:31:13.038,runTest,1.0162515510s,1.0505496930s
INFO,2024-06-07 10:31:16.201,runTest,1.1230845400s,1.1023214730s
INFO,2024-06-07 10:31:19.244,runTest,1.0337500110s,1.0666335840s
INFO,2024-06-07 10:31:22.304,runTest,1.0553142530s,1.0690422370s
INFO,2024-06-07 10:31:25.393,runTest,1.0425327730s,1.0687781670s
INFO,2024-06-07 10:31:28.440,runTest,1.0484060360s,1.0484281840s
INFO,2024-06-07 10:31:31.634,runTest,1.0443728670s,1.2087293460s
INFO,2024-06-07 10:31:34.667,runTest,1.0535814440s,1.0371088320s
INFO,2024-06-07 10:31:37.725,runTest,1.0533266110s,1.0575748770s
INFO,2024-06-07 10:31:41.010,runTest,1.0497372590s,1.2897487690s
INFO,2024-06-07 10:31:44.081,runTest,1.0428467900s,1.0766186460s
INFO,2024-06-07 10:31:47.112,runTest,1.0590594380s,1.0343320880s
INFO,2024-06-07 10:31:50.125,runTest,1.0206807910s,1.0460552550s
INFO,2024-06-07 10:31:53.167,runTest,1.0596289990s,1.0416267790s
INFO,2024-06-07 10:31:56.182,runTest,1.0388041850s,1.0400394810s
INFO,2024-06-07 10:33:02.213,runTest,1.0345633750s,1.0491464930s
INFO,2024-06-07 10:33:05.290,runTest,1.0591126170s,1.0809077490s
INFO,2024-06-07 10:33:08.361,runTest,1.0439796400s,1.0734621410s
INFO,2024-06-07 10:33:11.407,runTest,1.0340956510s,1.0719243620s
INFO,2024-06-07 10:33:14.484,runTest,1.0684500530s,1.0501343230s
INFO,2024-06-07 10:33:17.508,runTest,1.0320886240s,1.0453215260s
INFO,2024-06-07 10:33:20.576,runTest,1.0746761660s,1.0417239150s
INFO,2024-06-07 10:33:23.609,runTest,1.0434223750s,1.0440558610s
INFO,2024-06-07 10:33:26.677,runTest,1.0488981450s,1.0787552440s
INFO,2024-06-07 10:33:29.703,runTest,1.0277822260s,1.0491481090s
INFO,2024-06-07 10:33:32.736,runTest,1.0560378250s,1.0369468460s
